2026-01-19 11:56:57 [INFO] (/mnt/ssd4/mylogger/logger.py:85) --- Process Started ---
2026-01-19 11:56:57 [DEBUG] (/mnt/ssd4/mylogger/logger.py:88) This is a debug message (visible in file only)
2026-01-19 11:56:57 [INFO] (/mnt/ssd4/mylogger/logger.py:89) Initialization complete. Configuration loaded.
2026-01-19 11:56:57 [WARNING] (/mnt/ssd4/mylogger/logger.py:92) Disk space is running low.
2026-01-19 11:56:57 [ERROR] (/mnt/ssd4/mylogger/logger.py:98) An unexpected error occurred: division by zero
2026-01-19 11:56:57 [INFO] (/mnt/ssd4/mylogger/logger.py:100) --- Process Finished ---
2026-01-19 12:03:39 | [INFO]     | /mnt/ssd4/mylogger/logger.py:116                             | System initialization started.
2026-01-19 12:03:39 | [WARNING]  | /mnt/ssd4/mylogger/logger.py:119                             | Config file not found. Using default settings.
2026-01-19 12:03:39 | [ERROR]    | /mnt/ssd4/mylogger/logger.py:125                             | Database connection failed: division by zero
2026-01-19 12:03:39 | [INFO]     | /mnt/ssd4/mylogger/logger.py:127                             | System shut down.
2026-01-19 12:04:12 | INFO       | /mnt/ssd4/mylogger/logger.py:116                             | System initialization started.
2026-01-19 12:04:12 | WARNING    | /mnt/ssd4/mylogger/logger.py:119                             | Config file not found. Using default settings.
2026-01-19 12:04:12 | ERROR      | /mnt/ssd4/mylogger/logger.py:125                             | Database connection failed: division by zero
2026-01-19 12:04:12 | INFO       | /mnt/ssd4/mylogger/logger.py:127                             | System shut down.
2026-01-19 12:04:32:%f | INFO       | /mnt/ssd4/mylogger/logger.py:116                             | System initialization started.
2026-01-19 12:04:32:%f | WARNING    | /mnt/ssd4/mylogger/logger.py:119                             | Config file not found. Using default settings.
2026-01-19 12:04:32:%f | ERROR      | /mnt/ssd4/mylogger/logger.py:125                             | Database connection failed: division by zero
2026-01-19 12:04:32:%f | INFO       | /mnt/ssd4/mylogger/logger.py:127                             | System shut down.
2026-01-19 12:05:04 | INFO     | /mnt/ssd4/mylogger/logger.py:116                             | System initialization started.
2026-01-19 12:05:04 | WARNING  | /mnt/ssd4/mylogger/logger.py:119                             | Config file not found. Using default settings.
2026-01-19 12:05:04 | ERROR    | /mnt/ssd4/mylogger/logger.py:125                             | Database connection failed: division by zero
2026-01-19 12:05:04 | INFO     | /mnt/ssd4/mylogger/logger.py:127                             | System shut down.
2026-01-19 12:07:24 | INFO       | /mnt/ssd4/mylogger/logger.py:104 | Process started.
2026-01-19 12:07:24 | WARNING    | /mnt/ssd4/mylogger/logger.py:107 | Configuration file not found.
2026-01-19 12:07:24 | ERROR      | /mnt/ssd4/mylogger/logger.py:112 | Calculation failed: division by zero
2026-01-19 12:07:24 | INFO       | /mnt/ssd4/mylogger/logger.py:114 | Task finished.
2026-01-19 12:07:32 | INFO     | /mnt/ssd4/mylogger/logger.py:104 | Process started.
2026-01-19 12:07:32 | WARNING  | /mnt/ssd4/mylogger/logger.py:107 | Configuration file not found.
2026-01-19 12:07:32 | ERROR    | /mnt/ssd4/mylogger/logger.py:112 | Calculation failed: division by zero
2026-01-19 12:07:32 | INFO     | /mnt/ssd4/mylogger/logger.py:114 | Task finished.
